tempo;posizione;velocità;acc
0,0333;0,6168512;-0,006409076;0,059916106
0,0666;0,6165768;-0,004234568;0,056364673
0,0999;0,6165768;-0,003021421;0,057109328
0,1332;0,6163024;-0,000228896;0,050846587
0,1665;0,6165768;0,001831164;0,008420332
0,1998;0,6165768;0;-0,021537721
0,2331;0,6165768;-0,001831164;0,006300929
0,2664;0,6163024;0,000228896;0,038569322
0,2997;0,6165768;0,002746747;0,016038728
0,333;0,6165768;0,002517851;-0,039142134
0,3663;0,6168512;-0,000686687;-0,067591783
0,3996;0,6165768;-0,004806807;-0,018520912
0,4329;0,6163024;-0,002746747;0,050789306
0,4662;0,6163024;0,001602269;0,040860569
0,4995;0,6165768;0,001831164;-0,017757163
0,5328;0,6165768;-0,001831164;-0,021957782
0,5661;0,6163024;-0,001831164;0,029786209
0,5994;0,6163024;0,00206006;0,034750578
0,6327;0,6165768;0,002517851;-0,012410921
0,666;0,6165768;0,000228896;-0,035896201
0,6993;0,6165768;-0,001831164;-0,010310611
0,7326;0,6163024;-0,000228896;0,012983732
0,7659;0,6165768;0,001144478;-0,012029046
0,7992;0,6165768;-0,00206006;-0,011265297
0,8325;0,6163024;-0,001831164;0,044297439
0,8658;0,6163024;0,002288956;0,069501155
0,8991;0,6165768;0,003891225;0,072747088
0,9324;0,6165768;0,005493493;0,123727331
0,9657;0,6168512;0,0103003;0,228551875
0,999;0,6171256;0,019913914;0,351133583
1,0323;0,6179488;0,035936603;0,406696319
1,0656;0,6195952;0,050357024;0,368699809
1,0989;0,621516;0,059512846;0,34788765
1,1322;0,6234368;0,071415415;0,378055733
1,1655;0,6261808;0,08560694;0,387411658
1,1988;0,6291992;0,098425092;0,364690127
1,2321;0,6327664;0,110098765;0,337195164
1,2654;0,636608;0,119941275;0,337577039
1,2987;0,640724;0,130699366;0,387220721
1,332;0,6451144;0,146722055;0,409751315
1,3653;0,6506024;0,159997998;0,377291984
1,3986;0,655816;0,171900567;0,342541407
1,4319;0,6621272;0,181743076;0,337195164
1,4652;0,6678896;0,192501168;0,379774169
1,4985;0,6747496;0,208294962;0,387220721
1,5318;0,681884;0,220655322;0,334522043
1,5651;0,6895672;0,23004004;0,296143658
1,5984;0,6972504;0,237822489;0,327457365
1,6317;0,705208;0,251098432;0,385120411
1,665;0,7139888;0,26460327;0,409751315
1,6983;0,7227696;0,279481481;0,399249767
1,7316;0,732648;0,29298632;0,341395784
1,7649;0,7425264;0,300310978;0,330321424
1,7982;0,7524048;0,313358025;0,362207943
1,8315;0,7633808;0,326633967;0,348460461
1,8648;0,7743568;0,33578979;0,355716076
1,8981;0,7856072;0,348379046;0,404023198
1,9314;0,7974064;0,364630631;0,399249767
1,9647;0,8100288;0,377219887;0,335858604
1,998;0,8226512;0,386375709;0,290988352
2,0313;0,8358224;0,393929263;0,320583624
2,0646;0,8487192;0,406060727;0,396767583
2,0979;0,8627136;0,422541208;0,413188185
2,1312;0,8769824;0,43581715;0,364308252
2,1645;0,8918;0,447033033;0,308172704
2,1978;0,906892;0,454586587;0,302253649
2,2311;0,921984;0,464657991;0,364117315
2,2644;0,9376248;0,48022289;0,391039466
2,2977;0,9540888;0,493041041;0,337767976
2,331;0,9705528;0,503570237;0,174325699
2,3643;0,9875656;0,513412746;-0,436673466
2,3976;1,0048528;0,503112446;-2,041119086
2,4309;1,0226888;0,421625626;-4,791570015
2,4642;1,038604;0,175105105;-7,03260039
2,4975;1,0369576;-0,14237304;-6,431339024
2,5308;1,0240608;-0,321140474;-3,714493049
2,5641;1,0114384;-0,368521855;-1,347635034
2,5974;0,998816;-0,370124124;-0,156950411
2,6307;0,9867424;-0,360281615;0,280868679
2,664;0,9746688;-0,345861195;0,411851625
2,6973;0,9636928;-0,330525192;0,42808129
2,7306;0,9527168;-0,316791458;0,413188185
2,7639;0,942564;-0,302599933;0,38588416
