tempo;posizione;velocità;acc
0,0333;0,5293176;-0,000457791;-0,01451123
0,0666;0,5293176;-0,000915582;-0,00897405
0,0999;0,5293176;-0,00206006;0,008592176
0,1332;0,5290432;-0,000228896;0,024058092
0,1665;0,5293176;0,001373373;-0,005346243
0,1998;0,5293176;-0,001602269;-0,009164987
0,2331;0,5290432;-0,000457791;0,02214872
0,2664;0,5293176;0,000228896;0,052507741
0,2997;0,5290432;0,00206006;0,11131641
0,333;0,5293176;0,007782449;0,168597582
0,3663;0,529592;0,013504838;0,223205633
0,3996;0,5301408;0,021973974;0,293470536
0,4329;0,530964;0,033418752;0,349415148
0,4662;0,532336;0,046008008;0,38034698
0,4995;0,5339824;0,059970637;0,376146361
0,5328;0,536452;0,070957624;0,371563867
0,5661;0,5386472;0,08354688;0,393903524
0,5994;0,54194;0,097967301;0,394667273
0,6327;0,5452328;0,110785452;0,370227307
0,666;0,5493488;0,122688021;0,343496093
0,6993;0,5534648;0,132759426;0,343114219
0,7326;0,5581296;0,144661995;0,367554185
0,7659;0,5630688;0,157480147;0,381683541
0,7992;0,5685568;0,171442776;0,360107633
0,8325;0,5745936;0,182658659;0,312755198
0,8658;0,5809048;0,189525526;0,336049541
0,8991;0,5869416;0,203259259;0,404023198
0,9324;0,5943504;0,219510844;0,393139775
0,9657;0,6017592;0,230726727;0,345978277
0,999;0,6097168;0,241713714;0,318674252
1,0323;0,6179488;0,25018285;0,339104537
1,0656;0,6261808;0,263687688;0,380537918
1,0989;0,6355104;0,277650317;0,368699809
1,1322;0,64484;0,287492826;0,369463558
1,1655;0,654444;0,302371038;0,364308252
1,1988;0,6651456;0,312900234;0,332039859
1,2321;0,6752984;0,322971638;0,340632035
1,2654;0,6865488;0,33578979;0,347123901
1,2987;0,6977992;0,345403403;0,370609181
1,332;0,709324;0,360739406;0,385502286
1,3653;0,7219464;0,373099766;0,347505775
1,3986;0,7342944;0,382255589;0,348460461
1,4319;0,7471912;0,396447114;0,350369834
1,4652;0,7609112;0,405602936;0,358007323
1,4985;0,7740824;0,418421088;0,407460068
1,5318;0,7886256;0,434672673;0,401159139
1,5651;0,8031688;0,447261929;0,341204846
1,5984;0,8185352;0,456646647;0,300917089
1,6317;0,8336272;0,464657991;0,330321424
1,665;0,849268;0,478162829;0,3748098
1,6983;0,8654576;0,492125459;0,3568617
1,7316;0,882196;0,502425759;0,324402369
1,7649;0,8989344;0,512039373;0,335667666
1,7982;0,9162216;0,523941942;0,369463558
1,8315;0,9337832;0,536988989;0,386838846
1,8648;0,9518936;0,552324992;0,301489901
1,8981;0,9708272;0,560794127;-0,005919054
1,9314;0,989212;0,564456456;-0,901414706
1,9647;1,0086944;0,537675676;-2,98072124
1,998;1,0279024;0,405602936;-6,006885542
2,0313;1,0416224;0,104605272;-7,832818359
2,0646;1,03586;-0,222715382;-6,489383945
2,0979;1,020768;-0,381111111;-3,397155358
2,1312;1,0067736;-0,414300968;-1,06638448
2,1645;0,9927792;-0,410638639;-0,003818745
2,1978;0,9793336;-0,396904905;0,318483315
2,2311;0,9664368;-0,385460127;0,389321031
2,2644;0,95354;-0,370810811;0,412997248
2,2977;0,9417408;-0,35639039;0,391612277
2,331;0,9299416;-0,345174508;0,383020102
2,3643;0,9186912;-0,332356356;0,409369441
2,3976;0,9077152;-0,317478145;0,426553792
2,4309;0,8975624;-0,302599933;0,410515064
2,4642;0,887684;-0,290697364;0,402304763
2,4975;0,87808;-0,276276944;0,404786947
2,5308;0,8692992;-0,262314314;0,377482922
2,5641;0,8607928;-0,252471805;0,38244729
2,5974;0,8522864;-0,238051385;0,414524746
2,6307;0,8448776;-0,222257591;0,38588416
2,664;0,8377432;-0,212643977;0,36793606
2,6973;0,8306088;-0,200283617;0,414333809
2,7306;0,8242976;-0,184947614;0,457485625
2,7639;0,8182608;-0,168467134;0,45710375
2,7972;0,8130472;-0,151986653;0,386266035
2,8305;0,8083824;-0,142144144;0,306263332
2,8638;0,8037176;-0,135735068;0,339486411
2,8971;0,7990528;-0,121772439;0,435145968
2,9304;0,7954856;-0,104147481;0,463213742
2,9637;0,7921928;-0,088353687;0,418343491
2,997;0,7897232;-0,075993327;0,36239888
3,0303;0,7872536;-0,066837504;0,373664177
3,0636;0,7850584;-0,052417084;0,420061926
3,0969;0,7836864;-0,036165499;0,402686637
3,1302;0,7828632;-0,024949616;0,370227307
3,1635;0,78204;-0,013962629;0,394476336
3,1968;0,7817656;0,000915582;0,42598098
3,2301;0,78204;0,017167167;0,390275717
3,2634;0,7831376;0,027696363;0,337386101
3,2967;0,7839608;0,036394394;0,366599499
3,33;0,7853328;0,050814815;0,428272227
3,3633;0,7872536;0,067753086;0,414906621
3,3966;0,7899976;0,080571238;0,342159532
3,4299;0,7927416;0,08972706;0,292324913
3,4632;0,7960344;0,097280614;0,320774562
